id,osm_id,latitude,longitude
329,4380557924,18.7577222,73.3992552
330,4380557927,18.757739,73.3994231
331,4380557928,18.7577766,73.3993303
332,4380557929,18.7575378,73.3991626
333,4380557930,18.7587089,73.398377
334,4380557932,18.7579509,73.3974601
335,4380557933,18.7620268,73.3962956
336,4380557934,18.7612554,73.3962958
337,4380557935,18.7613288,73.3950273
338,4380557936,18.7619911,73.3992355
339,4380557938,18.7612033,73.3988501
340,4380557940,18.7609139,73.3981733
341,4380557941,18.7619939,73.3988793
342,4380557942,18.761603,73.3983625
343,4380557943,18.761998,73.3983409
344,4380557944,18.7601835,73.3994104
345,4380557946,18.7590052,73.399767
346,4380557947,18.7609057,73.400566
347,4380557948,18.7611206,73.4021685
348,4380557949,18.760709,73.4005983
349,4380557959,18.7592991,73.4028068
350,4380557960,18.7604453,73.4030346
351,4380557961,18.7597284,73.4036678
352,4380557962,18.7608863,73.4044027
353,4380557963,18.7604726,73.403788
354,4380557967,18.7593161,73.4044554
355,4380557969,18.7599725,73.4062052
356,4380557970,18.7616153,73.4055513
357,4380557976,18.7617615,73.4078376
358,4380557982,18.7614738,73.4064611
359,4380557983,18.7610907,73.4065619
360,4380557984,18.7653741,73.4079663
361,4380557985,18.7650365,73.4091094
362,4380557986,18.7652363,73.4097862
363,4380557989,18.7654269,73.4105159
364,4380557991,18.7652401,73.4105488
365,4380557995,18.7644583,73.4106249
366,4380557996,18.7647516,73.411523
367,4380557997,18.7644508,73.4111762
368,4380563756,18.7644135,73.4124767
369,4380563766,18.7625095,73.4180842
370,4380563773,18.7607475,73.4183225
371,4380563775,18.7600349,73.4184465
372,4380563889,18.7602561,73.414662
373,4380563894,18.7566365,73.4150328
374,4380563900,18.7556307,73.414135
375,4380563902,18.755303,73.4153413
376,4380563903,18.7563189,73.4159143
377,4380563904,18.755897,73.4156727
378,4380563914,18.7536296,73.4170246
379,4380563915,18.7527468,73.4148155
380,4380563919,18.7544431,73.4155741
381,4380563920,18.7538375,73.4152508
382,4380563922,18.7534972,73.4164861
383,4380563923,18.7539065,73.4160801
384,4380563925,18.7534815,73.4158043
385,4380581270,18.7534267,73.413047
386,4380581275,18.7524119,73.4159296
387,4380581281,18.7502759,73.4158226
388,4380581489,18.7506824,73.416725
389,4380581491,18.7503654,73.4168997
390,4380581493,18.7500416,73.4151749
391,4380581495,18.7497315,73.4146364
392,4380581499,18.7496557,73.4138213
393,4380581501,18.7502483,73.4138796
394,4380581505,18.7498084,73.4144014
395,4380581506,18.750517,73.4144763
396,4380581507,18.750517,73.4150439
397,4380581508,18.7505584,73.4153205
398,4380581509,18.749002,73.4157849
399,4380581515,18.7482292,73.4170816
400,4380581516,18.7487943,73.4170816
401,4380581517,18.7488287,73.417853
402,4380581521,18.746076,73.4151617
403,4380581525,18.7465429,73.4134778
404,4380581526,18.7472024,73.4135303
405,4380581531,18.7454678,73.4142615
406,4380581536,18.7447165,73.4156625
407,4380581537,18.7455213,73.4158254
408,4380581539,18.7443011,73.415567
409,4380581540,18.7440578,73.4162548
410,4380581548,18.7410001,73.4124459
411,4380581558,18.7426137,73.4157793
412,4380581562,18.742355,73.416139
413,4380581563,18.7415485,73.4156841
414,4380581565,18.7416238,73.4168726
415,4380581566,18.742116,73.4163415
416,4380581568,18.7415918,73.4161476
